,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
0,1709919632.1323998,963541d7ab86ef4e5c067a0b67723fad32c8d65c25121819e74da3862a8f7ca3,fcb77cd0310f3a97359221ea7278a830491344ce0eac21159f5441a078f18fb4,polito.it,-61,32,621172004.0,150487035.0,6.0,AP-COV-C3A-XP03-02,Staff,1709919644.9960716,100.246.157.123.103.192,6.0,60.0,45.0,1.0,-86.0,-92.0,5.0,6.0,2.0,1.0
1,1709919632.1323998,89a68b912b00a8304f95c67b990b9ff1b7fc93249acb876e45d19e7683987efe,251ff1730c59f7313e5f5bc3965c7315a7eef7796a7a616ee3d0b27d9f0119eb,epfl.ch,-54,38,3171332236.0,57774820.0,10.0,AP-VALE-BCA-03,External,1709919644.9960716,64.1.122.163.105.208,11.0,100.0,7.0,2.0,-91.0,-92.0,3.0,1.0,1.0,3.0
2,1709919632.1323998,b972f92df8f023d28e8363795ce3b8c6da45b73e0ff6b7e43073860533a231fe,8d357ea766c61581a51612e5204893236863844dad510705a3d51e0b79d1e86f,studenti.polito.it,-63,35,716778432.0,192348410.0,6.0,AP-ASSTUD01,Student,1709919644.9960716,160.224.175.214.83.240,1.0,132.0,23.0,2.0,-96.0,-94.0,1.0,1.0,8.0,14.0
3,1709919632.1323998,3c78e9870148017938f83545bc98eaab653cacb4ca59996a1736b42bd192b970,fb411e4046535efdb5853a2f898b54fd58d0414d977fe62a1a9747481395fa36,studenti.polito.it,-74,18,1074748206.0,104022719.0,10.0,AP-VALE-BCA-ST-01,Student,1709919644.9960716,0.53.26.162.43.160,6.0,64.0,8.0,2.0,-95.0,-89.0,2.0,1.0,1.0,21.0
4,1709919632.1323998,aeeaf2d3f8c343d900d1fd1a4ab189d6d9ee1ed07fe7f5f1018226375bfc2708,aaee9907827d9e45e3cd198d748b55a45f1967caf6404075cbf69f1edd1bedbc,polito.it,-52,42,2681835492.0,365723583.0,10.0,AP-COV-C3A-XP03-13,Staff,1709919644.9960716,100.246.157.33.80.48,6.0,60.0,49.0,9.0,-92.0,-91.0,5.0,6.0,1.0,1.0
5,1709919632.1323998,e11d3ad1badbe6809b626776ee8adefd106381c18f1c93f1c2150a504e23d3e5,1c6f1b5ee0a4f2b6dcedea11cb42b19070b778f2857d33abd4ea3523c62d4f76,studenti.polito.it,-52,38,165308439.0,10320445.0,10.0,AP-AULA12I-01,Student,1709919644.9960716,0.53.26.121.95.112,1.0,36.0,9.0,3.0,-68.0,-90.0,3.0,1.0,0.0,28.0
6,1709919632.1323998,791b84c4d23689eea3a9055230a88bfc04ba19811d07f57af0fb0b6cb96a39b9,18b6327767c1ef59c16cb70ccf455a3d272f5f3fc25e62a28cdaccd78c4bd254,polito.it,-50,41,15238407.0,9025170.0,6.0,AP-DISMIC25,Staff,1709919644.9960716,176.139.207.124.217.160,1.0,64.0,10.0,0.0,-92.0,-96.0,1.0,1.0,5.0,4.0
7,1709919632.1323998,60bb2f10f37faebf394eee2300220e69edab07d9236821ef768738d4090b3825,6a59055fdbb8e051e5731d750a9f86860b7f9e39cbcb8a5fdda4b986385f4f5b,polito.it,-65,23,469317432.0,26488792.0,6.0,AP-DISMIC02,Staff,1709919644.9960716,24.128.144.205.82.16,1.0,64.0,13.0,1.0,-95.0,-91.0,5.0,1.0,1.0,1.0
8,1709919632.1323998,f9ad3280ce12a512a92098eb899d4d64e88750c8b2ce468dffef16d8a9e5d7c5,9936071646038ddd785abe909af5bd88558bcfe08d4d27021974caf04b7c5820,studenti.polito.it,-58,30,590815630.0,4003401288.0,10.0,AP-CIT-DAUIN2-02,Student,1709919644.9960716,24.128.144.163.51.176,1.0,48.0,44.0,6.0,-72.0,-85.0,1.0,1.0,3.0,31.0
9,1709919632.1323998,acf892f584498a29597690f3491c250321b8e3062920d269906608cc9eb39239,0f80bad80dff6c6e8e3b74535df72444f68fd1f8063f6a6fd2b212fb8380d41e,polito.it,-60,35,1382352027.0,147829228.0,10.0,AP-DIMEC12,Staff,1709919644.9960716,100.246.157.33.68.160,6.0,112.0,29.0,1.0,-90.0,-92.0,4.0,1.0,0.0,4.0
