,Timestamp_x,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,client_type,name_ap,class,Timestamp_y,code_ap,channel_1,channel_2,ch_utilization_1,ch_utilization_2,noise_x,noise_y,tx_power_1,tx_power_2,n_clients_2_4,n_clients_5
1481,1709919713.4442668,87e33776604f0ed42d2cd26c11c4d698920f5c2549103c4517c432577fd33e04,fa8d7916551601c6e6beeb158053931ed93f395c1ff1995be9bf8b4e71611f75,studenti.polito.it,-84,12,10276965,3963132,10.0,AP-CORTILE-06,Student,1709919725.9061918,244.207.226.79.139.48,11.0,100.0,10.0,0.0,-91.0,-96.0,4.0,1.0,2.0,7.0
1482,1709919713.4442668,9823ff6c08e2b64f369884d2e8d56abea6d11fe2981fdc3ff067714b000a52dc,3ba3eb14cafec50998a28422ab3a6a06876ff9675de08cf98d27a4f26b3202fb,polito.it,-39,46,208684522,38654482,10.0,AP-CORPOZ-09,Staff,1709919725.9061918,188.38.199.211.52.192,6.0,64.0,6.0,0.0,-92.0,-98.0,5.0,5.0,1.0,4.0
1483,1709919713.4442668,529ebb0e1d15b19ee4d858c1695dbf649827c4dc13cdc39a206a1cc17cf96de1,35c9cffc27ef34f14ce56e68844b0a24e32c034751b5d5d4f1a7cd5e286ca7c6,polito.it,-77,14,1123900245,309818453,10.0,AP-CIT-DAUIN3-01,Staff,1709919725.9061918,136.29.252.20.12.96,6.0,36.0,14.0,0.0,-94.0,-89.0,3.0,1.0,1.0,2.0
1484,1709919713.4442668,da5e4b18d7d89f6ca703e7644882a5c4cc08d036fdcdc22b2bd983d2087c859b,2ccfa4ec4393487b96897e67aa6d9dfbe48c280a321fd3d73b59cefd49ab71af,inaf.it,-51,43,10277043,5451741,10.0,AP-DITAG-13,External,1709919725.9061918,100.246.157.52.55.240,6.0,64.0,4.0,0.0,-93.0,-92.0,3.0,1.0,0.0,4.0
1485,1709919713.4442668,d6f49ce4823fe1977dacf28da5a86e5be9a54ba0aa8302a48df0d215d8f6c8fa,e500624496669f804510e98ab9c2e8c4f2ea8f429cf78ca935cdea0cd51bd283,polito.it,-72,18,838842527,611372110,10.0,AP-CIT-DAUIN3-07,Staff,1709919725.9061918,100.246.157.120.179.0,11.0,100.0,17.0,1.0,-91.0,-90.0,1.0,1.0,1.0,2.0
1486,1709919713.4442668,ae507bc690e32a88e2816d973b6242073162e685c168fe5b11f46ad702287fa6,4266d45978e0400d34690f8d65a54534cf3ece5861887c6ae26b5293ca98265e,polito.it,-52,40,351173262,75919079,10.0,AP-COV-C3B-XP03-06,Staff,1709919725.9061918,176.170.119.123.165.160,6.0,60.0,67.0,9.0,-81.0,-93.0,5.0,6.0,0.0,3.0
1487,1709919713.4442668,5e9e2b00904ab3f20bed9f78aead6ce4059510736c8e5b33037cf7e4eab0a858,b9a1f14561da4dff8705e8d3ce74539cfac6154c8385838246fae6d76c168447,polito.it,-61,33,50693285,5674180,10.0,AP-DELET02,Staff,1709919725.9061918,160.224.175.236.66.208,11.0,100.0,20.0,0.0,-95.0,-90.0,2.0,1.0,3.0,8.0
1488,1709919713.4442668,3943f877f8155411f094b93df06b970e4870d5a10cf5efba608ea0f42adee238,a4b7241a0c70095372b4295b9927eafd159c2abe7adb5dd1494d35bcd28207da,studenti.polito.it,-51,43,241718561,54019509,10.0,AP-BCI-05,Student,1709919725.9061918,188.38.199.221.106.64,6.0,52.0,44.0,6.0,-93.0,-98.0,5.0,1.0,0.0,30.0
1489,1709919713.4442668,187b0725cce878f0fa7b9f054ab846035b54dd1ba54a150ab61182eb1f966a59,3e1d7f424b3201420d639633f9a6829ad51912afccff2cc4f93cbf8c704368b9,polito.it,-62,29,524669612,111583031,10.0,AP-COV-C3A-XP03-04,Staff,1709919725.9061918,176.170.119.124.247.176,6.0,36.0,45.0,9.0,-91.0,-90.0,5.0,6.0,0.0,1.0
1490,1709919713.4442668,b9fbe91cc60bbd27c6f227cf5d6d139741b4d4ab67d288752d5df353dc6a0560,fb0315104dc1bd8b0ab9777e4bf450d76bf1f0375cf92730d33486c10ad235de,studenti.polito.it,-67,25,722361091,19256102,10.0,AP-AULA23-TM-01,Student,1709919725.9061918,100.246.157.41.242.48,11.0,36.0,10.0,5.0,-74.0,-92.0,3.0,1.0,0.0,11.0
