,_id,From,To,Timestamp
0,660e75feb4c9d0b32d8b02e4,AULA,"[['AULA', 38.0]]",1712223742.333606
1,660e75feb4c9d0b32d8b02e5,AULA01,"[['AULA', 38.0], ['AULA01', 52.0]]",1712223742.333606
2,660e75feb4c9d0b32d8b02e6,AULA03,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0]]",1712223742.333606
3,660e75feb4c9d0b32d8b02e7,AULA05,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0]]",1712223742.333606
4,660e75feb4c9d0b32d8b02e8,AULA08,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0]]",1712223742.333606
5,660e75feb4c9d0b32d8b02e9,AULA10,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0]]",1712223742.333606
6,660e75feb4c9d0b32d8b02ea,AULA10A,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0]]",1712223742.333606
7,660e75feb4c9d0b32d8b02eb,AULA10C,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0]]",1712223742.333606
8,660e75feb4c9d0b32d8b02ec,AULA10D,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0]]",1712223742.333606
9,660e75feb4c9d0b32d8b02ed,AULA10I,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0]]",1712223742.333606
10,660e75feb4c9d0b32d8b02ee,AULA11,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0]]",1712223742.333606
11,660e75feb4c9d0b32d8b02ef,AULA11B,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0]]",1712223742.333606
12,660e75feb4c9d0b32d8b02f0,AULA11I,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0]]",1712223742.333606
13,660e75feb4c9d0b32d8b02f1,AULA11S,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0], ['AULA11S', 8.0]]",1712223742.333606
14,660e75feb4c9d0b32d8b02f2,AULA11T,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0], ['AULA11S', 8.0], ['AULA11T', 7.0], ['AULAR2', 2.0]]",1712223742.333606
15,660e75feb4c9d0b32d8b02f3,AULA12,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0], ['AULA11S', 8.0], ['AULA11T', 7.0], ['AULAR2', 2.0], ['AULA01', 1.0], ['AULA12', 100.0]]",1712223742.333606
16,660e75feb4c9d0b32d8b02f4,AULA12A,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0], ['AULA11S', 8.0], ['AULA11T', 7.0], ['AULAR2', 2.0], ['AULA01', 1.0], ['AULA12', 100.0], ['AULA12A', 54.0]]",1712223742.333606
17,660e75feb4c9d0b32d8b02f5,AULA12D,"[['AULA', 38.0], ['AULA01', 52.0], ['AULA03', 50.0], ['AULA05', 151.0], ['AULA2', 2.0], ['AULA7', 1.0], ['AULA08', 81.0], ['AULA1S', 2.0], ['AULAMAGNA06', 1.0], ['AULA10', 46.0], ['AULA14', 1.0], ['AULASTUDIO3', 3.0], ['AULA10A', 14.0], ['AULA12A', 4.0], ['AULA2T', 1.0], ['AULA10C', 51.0], ['AULA8C', 1.0], ['AULA10D', 39.0], ['AULA10I', 9.0], ['AULA8I', 1.0], ['AULA11', 40.0], ['AULA7B', 2.0], ['AULA11B', 8.0], ['AULA11I', 39.0], ['AULA11S', 8.0], ['AULA11T', 7.0], ['AULAR2', 2.0], ['AULA01', 1.0], ['AULA12', 100.0], ['AULA12A', 54.0], ['AULA12D', 7.0]]",1712223742.333606
