iso.3.6.1.4.1.14179.2.1.6.1.26.1.41.16.125.178.174 = INTEGER: 25
iso.3.6.1.4.1.14179.2.1.6.1.26.1.41.16.197.166.124 = INTEGER: 39
iso.3.6.1.4.1.14179.2.1.6.1.26.1.41.16.201.109.67 = INTEGER: 46
iso.3.6.1.4.1.14179.2.1.6.1.26.1.45.230.13.142.42 = INTEGER: 15
iso.3.6.1.4.1.14179.2.1.6.1.26.1.45.230.56.181.130 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.1.45.230.93.5.113 = INTEGER: 37
iso.3.6.1.4.1.14179.2.1.6.1.26.1.59.188.184.195.42 = INTEGER: 34
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.89.18.6 = INTEGER: 17
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.90.95.216 = INTEGER: 14
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.115.109.255 = INTEGER: 39
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.122.8.171 = INTEGER: 25
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.132.189.55 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.151.241.77 = INTEGER: 13
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.168.179.189 = INTEGER: 31
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.176.68.243 = INTEGER: 45
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.20.217.235.38 = INTEGER: 49
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.21.46.170 = INTEGER: 41
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.30.197.240 = INTEGER: 35
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.62.100.140 = INTEGER: 31
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.72.12.82 = INTEGER: 9
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.85.132.50 = INTEGER: 43
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.112.177.113 = INTEGER: 49
iso.3.6.1.4.1.14179.2.1.6.1.26.1.64.163.205.91.211 = INTEGER: 36
iso.3.6.1.4.1.14179.2.1.6.1.26.1.92.249.255.157.141 = INTEGER: 31
iso.3.6.1.4.1.14179.2.1.6.1.26.1.95.85.166.36.182 = INTEGER: 34
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.183.96.185 = INTEGER: 49
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.189.53.78 = INTEGER: 33
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.190.69.17 = INTEGER: 42
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.191.185.180 = INTEGER: 28
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.191.196.238 = INTEGER: 12
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.193.112.150 = INTEGER: 29
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.197.227.173 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.199.97.116 = INTEGER: 30
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.199.144.108 = INTEGER: 44
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.207.107.126 = INTEGER: 41
iso.3.6.1.4.1.14179.2.1.6.1.26.1.100.172.207.228.81 = INTEGER: 38
iso.3.6.1.4.1.14179.2.1.6.1.26.1.129.147.138.39.215 = INTEGER: 29
iso.3.6.1.4.1.14179.2.1.6.1.26.1.148.65.133.89.70 = INTEGER: 18
iso.3.6.1.4.1.14179.2.1.6.1.26.1.166.226.162.60.196 = INTEGER: 50
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.16.212.255 = INTEGER: 47
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.44.24.41 = INTEGER: 44
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.45.216.87 = INTEGER: 17
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.45.216.205 = INTEGER: 15
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.45.219.127 = INTEGER: 51
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.46.117.237 = INTEGER: 37
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.47.31.199 = INTEGER: 35
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.47.42.181 = INTEGER: 37
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.62.146.51 = INTEGER: 33
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.65.233.253 = INTEGER: 33
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.65.241.29 = INTEGER: 45
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.68.158.161 = INTEGER: 26
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.76.204.99 = INTEGER: 38
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.111.178.39 = INTEGER: 43
iso.3.6.1.4.1.14179.2.1.6.1.26.1.176.202.239.10.81 = INTEGER: 14
iso.3.6.1.4.1.14179.2.1.6.1.26.1.197.195.240.90.76 = INTEGER: 39
iso.3.6.1.4.1.14179.2.1.6.1.26.1.209.65.246.206.20 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.1.215.110.37.167.25 = INTEGER: 41
iso.3.6.1.4.1.14179.2.1.6.1.26.1.215.110.38.31.221 = INTEGER: 35
iso.3.6.1.4.1.14179.2.1.6.1.26.1.215.110.54.16.15 = INTEGER: 30
iso.3.6.1.4.1.14179.2.1.6.1.26.1.215.110.121.184.77 = INTEGER: 30
iso.3.6.1.4.1.14179.2.1.6.1.26.1.215.110.165.144.215 = INTEGER: 39
iso.3.6.1.4.1.14179.2.1.6.1.26.1.223.42.151.212.96 = INTEGER: 42
iso.3.6.1.4.1.14179.2.1.6.1.26.1.223.42.201.175.233 = INTEGER: 17
iso.3.6.1.4.1.14179.2.1.6.1.26.1.250.173.47.78.157 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.1.250.173.64.173.117 = INTEGER: 21
iso.3.6.1.4.1.14179.2.1.6.1.26.1.250.173.108.155.113 = INTEGER: 35
iso.3.6.1.4.1.14179.2.1.6.1.26.1.250.173.169.136.195 = INTEGER: 47
iso.3.6.1.4.1.14179.2.1.6.1.26.1.250.173.169.205.151 = INTEGER: 38
iso.3.6.1.4.1.14179.2.1.6.1.26.3.2.203.84.23.110 = INTEGER: 32
iso.3.6.1.4.1.14179.2.1.6.1.26.3.4.229.102.49.62 = INTEGER: 54
iso.3.6.1.4.1.14179.2.1.6.1.26.3.7.155.176.126.6 = INTEGER: 31
iso.3.6.1.4.1.14179.2.1.6.1.26.3.8.47.233.241.214 = INTEGER: 30
iso.3.6.1.4.1.14179.2.1.6.1.26.3.8.243.242.241.144 = INTEGER: 28
iso.3.6.1.4.1.14179.2.1.6.1.26.3.10.178.58.176.15 = INTEGER: 20
iso.3.6.1.4.1.14179.2.1.6.1.26.3.11.209.235.40.251 = INTEGER: 42
iso.3.6.1.4.1.14179.2.1.6.1.26.3.13.216.183.144.38 = INTEGER: 40
iso.3.6.1.4.1.14179.2.1.6.1.26.3.15.130.223.91.243 = INTEGER: 15
iso.3.6.1.4.1.14179.2.1.6.1.26.3.16.11.37.143.52 = INTEGER: 39
iso.3.6.1.4.1.14179.2.1.6.1.26.3.19.140.211.54.123 = INTEGER: 45
iso.3.6.1.4.1.14179.2.1.6.1.26.3.20.236.16.148.247 = INTEGER: 29
iso.3.6.1.4.1.14179.2.1.6.1.26.3.23.148.17.103.13 = INTEGER: 44
iso.3.6.1.4.1.14179.2.1.6.1.26.3.25.65.182.32.254 = INTEGER: 46
iso.3.6.1.4.1.14179.2.1.6.1.26.3.26.140.154.185.85 = INTEGER: 42
