,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
2469,0cb9c43f01d3013010042f6aca3c6be2a5d49b0e3ea15a314cd2ae066c523196,964ae32dc9f0413d6eeac8810df2af9097827d365096efef8b1aff6d9144967a,polito.it,-41.0,54.0,517620863.0,79636699,AP-DISMIC17,Staff
2470,da1d325cb2bcaf58f73dfbbba7deb483dd5a9f0f02f90bbd7b70d4c79de3dced,605703465f9bdf98a2f5e58d698ad0b925c421244815f45144a22b6e058ef1a1,polito.it,-79.0,14.0,494252858.0,25620467,AP-DAUIN03,Staff
2471,2973678519ad82f10b4053bfca65f6332bb3c250bed979110704e27ce362728e,e8cc9d94d76f663020627d379a0a4fa45c8d852c984df65104f60e26ca2def63,studenti.polito.it,-75.0,19.0,253524.0,193411,AP-AULA7-01,Student
2472,ec3c0f8768414bdab5b9cdfc0300eb963af7f1ae1328f75aa268b4c3302190dc,47b0d497980a86deb77eb1838d5bcf195a6aa10f5fac78d0c989ec966c0be1c2,studenti.polito.it,-64.0,32.0,206141313.0,3814699,AP-AULA4-03,Student
2473,bd62950bbad2c339636b9f209d7b43ee09fc48c3598d57e679e8bda2445b6dce,27ff1966f4ad30bba36ad0589dbb5d98355c6b51c62b90b35df2d730948639d4,polito.it,-77.0,16.0,140674721.0,9163386562,AP-BARDENISE-1E-01,Staff
2474,636bc7577ca06033791d64ad1b49813eb6cb344496b282ee7f23c64a61a49957,84a2a0a4617f49c4f961be8a201c12c8c6d132344332ec1f597f4728c5f93f1f,polito.it,-65.0,31.0,530029640.0,15776779,AP-DISMIC15,Staff
2475,0cb41fe660c180156708ef7a4b2ef2225a377871479863566d94b67367509e03,4a102593c82dc4beb7ab2a6889622d8c8f768c4fd4592a441b1d88765c8427b6,studenti.polito.it,-76.0,15.0,1642640.0,505535,AP-SETTE-AULA11AM-2,Student
2476,7f46715655241d73eac80bdb4d4aab85388f2efe8f315358f5c42d7a8e9cc7cb,e8c56cdf7def21360fb2ce7a8b038ec893b187d47a7c106284db95fdd5080697,studenti.polito.it,-64.0,28.0,18039854.0,8593810,AP-CIT-LABINF-01,Student
2477,446f4a3b503a588f3aaf0e1c236f32878fbe41701b8aaf07a328a50268c5730f,,,,18.0,23820.0,4681,AP-BARDENISE-1E-01,Unknown
2478,3586a0e31ae8249e8c7dd82a98965fb4e231a01bcd5b0579cab325ea24343e65,212da15004dd2a8aeeb9b3ba08ee3d8a3214bf4f2fb6edf1e167f64e2ad3e827,polito.it,-58.0,36.0,9607855.0,2412650,AP-DICHI-3O-P3-01,Staff
2479,ce0f8d61c1d45fc3560b3e225535d714aef87f11c7648b176202920dfd2c2f17,7d14633c4435467b2e6c8b75d63c469e643ee9cf4bbbf6d318da0ed45177cf9b,polito.it,-60.0,34.0,807404172.0,29533823,AP-VALE-DIST-12,Staff
2480,0d85c11a83eeae89cec5bdc834028cbc256faccf2513091e45d180b95306148a,90ee43a4f37910fd1cf6e241de5e7914235fed5ff11b7052ddb6ba0b6262c437,studenti.polito.it,-48.0,46.0,262801718.0,6108497,AP-SETTE-AULA13AM,Student
2481,703e5b1eeab731012b5a6194f4e1485ec3000e6dcb94dcc1206b979e3aee0a5b,116a5cfc8f2447a87e16e20ece9f13c74063aef50396e6b14e22e0fc9a01c5c3,studenti.polito.it,-51.0,41.0,25028241.0,3104448,AP-SETTE-AULA13AM,Student
2482,2810080f4d0f01248ef4d343534c66f419a91ad6df1e4018f11f9c3cc838a90f,6fe13deaecf969f1e6072433012ebbe3b0364756d29a9c882aff72bfc449530b,polito.it,-56.0,32.0,38269859.0,12394087,AP-DISPEA05,Staff
2483,d84813f35e5e967934f47c54787d1e1460955ac06ca8909c09d73a3671c2ec7e,e82da9dcab93deedc069387800612c66514b29eb65508cae47f976131cd43794,studenti.polito.it,-47.0,48.0,9795679.0,1790130,AP-AULA14-01,Student
2484,037b910267334fd3c412341e80c4ebbe5ef342fe0050abac9df0c9086a974e79,,,,32.0,3982079.0,1239979,AP-AULA12I-01,Unknown
2485,338cfa4180b65d20e82c10ff5aec1489722fd2f5b1daa8e09872f7dda3ea2362,3efa8d8a3802d9b187725c351a28ea9ac6cce62515eb2bb688af6f88d42537b2,studenti.polito.it,-71.0,20.0,1744421257.0,97587485,AP-SETTE-AULA13AM,Student
2486,fbdff2f267abedea3b832fb5f8b961c239e33bcd74138b9a1d8c6ae20a73fe30,73294783e8b79f17b16718ae1474e7d2e42b96032d86c8fefe0a25bbded6c68a,polito.it,-63.0,32.0,106403696.0,16672471,AP-AULA5M-02,Staff
2487,b3d301561e1152cf64c61140ac77a087c2f5be5a286984b5fce3debeb202ad84,629904e1dfb092721472315e97d18d2346400beceafae9fc19a4843ee440647f,studenti.polito.it,-63.0,31.0,71093753.0,8083455,AP-LING-AULA201,Student
2488,91dc663e05deba9ca81a0118b302a310fb1e2abd6086301ff4c7d4096964f59a,eb79f3341a4722fcbfe3f1ab567e633222621d53c4395350e5902c98fd743f61,polito.it,-85.0,11.0,21789824.0,865891,AP-RETTORATO-RETTORE,Staff
2489,6d0e08afd68ee0d0b410ce9adfd9bf51c6106d1b4dae92a5fe658d8723cf8849,90ee28ab536d899c10e5991ab9ff1e7838e32e9a52054a4fa7a6bf34761620f3,studenti.polito.it,-61.0,34.0,27021941.0,1825189,AP-LING-AULA201,Student
