,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
0,462db4a37a20b223b4bc11b2e06dcc3fc4d05b4a7158070689e2a68685516173,062d4a44e8c1466215536f74bed533dbedc3d2f7b75ddfc2289efe19d0e6b104,studenti.polito.it,-59.0,29.0,93381595.0,17744672,AP-LING-AULA300-2,Student
1,fd2384ccce1a30e48844a788c0f62ed217cd95c49725825b90727997fd325a7d,37389184a0d518168f528bb408528749fca313b1f497e0ef2aa37d578123e2c5,studenti.polito.it,-57.0,36.0,2216473.0,1926898,AP-EXREALEMUTUA-R2A-P0,Student
2,164d737c6abf628870b3b7eb8ee891dfb6b4484e00204bca89c9d19e929f39b6,b7145a79f6677dd37adb280378214e6b1860299cba04b08b54cea49b50f24b8a,studenti.polito.it,-51.0,20.0,45329044.0,6606061,AP-AULAR2B-01,Student
3,bc65d65e337c0620d2276fc3e6be0640d357f346fc0d402cd00189ed8dc9c19b,3e6d7cefbe3e16a2d301a42a21b00c9df563b0795e19844236fda7179fa944c8,polito.it,-63.0,31.0,468479742.0,9638050,AP-COV-C3A-XP03-02,Staff
4,7c86e4026c0c9efdb667a8d34541534cbad80d24bdbb5cc9a5d6960fdeb82a52,7856fa977fdb570cc82a3fbdced09d855f89eba085a8bdf64283f04f14539cdd,studenti.polito.it,-62.0,26.0,1213253884.0,63191225,AP-COV-C3B-XP03-15,Student
5,924206feb54cd5d64b5f71f23083c02e0f5c458c0869eebcd795afc6d992a483,a4f509bd128005e767d99b767e41298af54a62f305731210a2ded5099f536b8c,polito.it,-62.0,36.0,422755754.0,203696584,AP-RETTORATO-CDA,Staff
6,b9c62e94e2a71385c521447150d9a48d038ef82fb560cbdc2ba566243cac600d,c17018ea25a0d9f818c7a61c171a694df9ecb76084eaf5334324253049b6e7be,polito.it,-43.0,56.0,434600254.0,80500105,AP-CARSTEST,Staff
7,ca350dde0ac29678338af6ecffcbc504eecdae23d4856397f31c785c4f569bb5,16016d5a2826e68de9f342e9cfa9cbcec02c0aca7fb4e553b906bd75087bd60a,studenti.polito.it,-54.0,41.0,98112889.0,14461353,AP-SALASTUDIO4-01,Student
8,fd3cdac7e855724fc19e4d24d7185bff5cd19659b9f3bade8cb775df951a6682,424d8359f27a04d3415c2a06c2050f2594d4e9be471f037a3320aa6aec10efb7,polito.it,-57.0,38.0,29167849.0,6727272,AP-DISMIC29,Staff
9,baed32d9d71d0bcc75ae74080d915784b61eabfc6a3cf9e56f11b6d23fbf8b3f,b5c2b7d8706b050d47c0f6e622252157e85ced33014c3721b64dba9f59bfe6ed,polito.it,-70.0,21.0,1835169148.0,493771573,AP-LABDTTF,Staff
