,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
0,462db4a37a20b223b4bc11b2e06dcc3fc4d05b4a7158070689e2a68685516173,062d4a44e8c1466215536f74bed533dbedc3d2f7b75ddfc2289efe19d0e6b104,studenti.polito.it,-60.0,33.0,105199327.0,20331148,AP-LING-AULA300-2,Student
1,fd2384ccce1a30e48844a788c0f62ed217cd95c49725825b90727997fd325a7d,37389184a0d518168f528bb408528749fca313b1f497e0ef2aa37d578123e2c5,studenti.polito.it,-58.0,34.0,4931768.0,2349016,AP-EXREALEMUTUA-R2A-P0,Student
2,164d737c6abf628870b3b7eb8ee891dfb6b4484e00204bca89c9d19e929f39b6,b7145a79f6677dd37adb280378214e6b1860299cba04b08b54cea49b50f24b8a,studenti.polito.it,-51.0,21.0,46329483.0,7954053,AP-AULAR2B-01,Student
3,bc65d65e337c0620d2276fc3e6be0640d357f346fc0d402cd00189ed8dc9c19b,3e6d7cefbe3e16a2d301a42a21b00c9df563b0795e19844236fda7179fa944c8,polito.it,-62.0,32.0,619473180.0,76896379,AP-COV-C3A-XP03-02,Staff
4,6fa0e86725cf290d95abe25b15be1357ef8f62834b09547bd6a9e68c0ebd0864,a58b8dbbbf5df1918e068b911dcfe86ecdf858bff7a587f0b72c25e08cdfad05,studenti.polito.it,-57.0,35.0,849715534.0,5491322,AP-AULA05-01,Student
5,da8ab97ae6cf975bea056abd52782b1e9b42d4197b5a71f67269aaad837bb530,7aa9f36770cbdef4c37879acae1db949225234df0584cc7d644f57061e9df4cb,studenti.polito.it,-44.0,53.0,40836542.0,4625337,AP-BCI-ST-10,Student
6,7c86e4026c0c9efdb667a8d34541534cbad80d24bdbb5cc9a5d6960fdeb82a52,7856fa977fdb570cc82a3fbdced09d855f89eba085a8bdf64283f04f14539cdd,studenti.polito.it,-60.0,25.0,1213254033.0,63191342,AP-COV-C3B-XP03-15,Student
7,51ac61414f673a0467670a95197ee0d6c47203e9307f12cc07c21f6009d7a428,2a7dc1e8a52bc713a672a4e990a36b6447d81c2ace9f17cbfd97b7167796bd90,studenti.polito.it,-55.0,38.0,141494570.0,6944007,AP-AULA4N-02,Student
8,b9c62e94e2a71385c521447150d9a48d038ef82fb560cbdc2ba566243cac600d,c17018ea25a0d9f818c7a61c171a694df9ecb76084eaf5334324253049b6e7be,polito.it,-42.0,57.0,436304156.0,82190359,AP-CARSTEST,Staff
9,ca350dde0ac29678338af6ecffcbc504eecdae23d4856397f31c785c4f569bb5,16016d5a2826e68de9f342e9cfa9cbcec02c0aca7fb4e553b906bd75087bd60a,studenti.polito.it,-56.0,38.0,99368503.0,14932506,AP-SALASTUDIO4-01,Student
10,fd3cdac7e855724fc19e4d24d7185bff5cd19659b9f3bade8cb775df951a6682,424d8359f27a04d3415c2a06c2050f2594d4e9be471f037a3320aa6aec10efb7,polito.it,-59.0,35.0,191943166.0,13699185,AP-DISMIC29,Staff
11,baed32d9d71d0bcc75ae74080d915784b61eabfc6a3cf9e56f11b6d23fbf8b3f,b5c2b7d8706b050d47c0f6e622252157e85ced33014c3721b64dba9f59bfe6ed,polito.it,-69.0,24.0,1838309890.0,496919884,AP-LABDTTF,Staff
12,a57853f532701a82f93c8fcea4c2f2fb102c31dee28be6e87f859ea720687f57,6ad5947aed40d57e388fdc99753c710bcfb1d39d8be2c95e675cf970fd096de8,studenti.polito.it,-52.0,46.0,41450857.0,36036201,AP-AULA2M-04,Student
