,mac_user,username,domain,rssi,snr,byte_rx,byte_tx,class
10679,c1:b5:9e:c:aa:af,e57eb15d21b51d60a427c2eb7b350364,studenti.polito.it,-62.0,31.0,8047956.0,4540155.0,Students
10680,c1:b5:9e:13:62:48,9ff028dc0e65e28cbddbd66e986f7a0b,studenti.polito.it,-59.0,33.0,1163750.0,302246.0,Students
10681,c1:b5:9e:14:67:97,553db71f9f88e03679f9155b4d2c0001,studenti.polito.it,-59.0,33.0,607815915.0,17199268.0,Students
10682,c1:b5:9e:19:30:5a,af016179bcc0e0a07433b11912bfdcb2,studenti.polito.it,-68.0,25.0,1631876.0,840564.0,Students
10683,c1:b5:9e:1b:15:f,cfce5f780b6a3000aade430e97f1c943,studenti.polito.it,-45.0,44.0,112514242.0,9806375.0,Students
10684,c1:b5:9e:1d:f5:c2,1a4df9444c21f175cc83a51b5203fccc,studenti.polito.it,-65.0,27.0,183392851.0,7371401.0,Students
10685,c1:b5:9e:1e:d0:60,812df425cced1257dbc9e43133222923,studenti.polito.it,-49.0,43.0,156153.0,44775.0,Students
10686,c1:b5:9e:1e:d3:60,17fc287652ea0ff49698bbdc525d9a48,studenti.polito.it,-60.0,35.0,23097021.0,3162903.0,Students
10687,c1:b5:9e:1f:1c:8e,9c3d84cfa72750139a7c5676a87497a9,studenti.polito.it,-77.0,15.0,713628.0,544733.0,Students
10688,c1:b5:9e:20:ec:86,48e9f91450205d35e896604e2bc5dd1f,studenti.polito.it,-56.0,38.0,74624351.0,8686945.0,Students
10689,c1:b5:9e:22:10:33,43aa171f5ee821f6c0c1f203af93222e,studenti.polito.it,-59.0,38.0,13592227.0,1355686.0,Students
10690,c1:b5:9e:22:ea:76,e96c47e7564b8032e5a36360928b05e7,studenti.polito.it,-60.0,34.0,73945574.0,6910742.0,Students
10691,c1:b5:9e:2a:6e:79,1331727679dd0c6760b32b26960e7245,studenti.polito.it,-52.0,41.0,404572328.0,46084073.0,Students
10692,c1:b5:9e:2a:ac:29,d043f9a9da1dc0d57010d84e780f0b6d,studenti.polito.it,-48.0,41.0,72748101.0,9269954.0,Students
10693,c1:b5:9e:2d:6b:34,496e183880c2bb4d7e5cb3af3b4b548f,SU.SE,-75.0,12.0,3280872.0,1003566.0,External
10694,c1:b5:9e:2d:d7:ba,4e1814310d326d6ac19bc45d7558b40b,studenti.polito.it,-44.0,49.0,273237418.0,9659594.0,Students
10695,c1:b5:9e:30:10:c7,de623e5da42c73c3593e6428f97ef430,studenti.polito.it,-48.0,42.0,8174390.0,660504.0,Students
10696,c1:b5:9e:30:46:4a,43a8f57f59353800e1d65f065e77afd1,s86682,-58.0,36.0,2933203.0,783600.0,External
10697,c1:b5:9e:30:b3:a2,6d6987750f5218b3a246c78525bed0ef,polito.it,-59.0,33.0,331345683.0,60500850.0,Professor
10698,c1:b5:9e:30:b4:93,d308f143bf7801ef60d48aaf392ff0b7,studenti.polito.it,-74.0,20.0,30577618.0,8969422.0,Students
