,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,class
1419,95a690ea95ff3090ee9b9c342f7d6cd2df4584ec6e964f675d38817bf8ff42ae,a8b682bc9eb4c223d49b04d8936b6b06ff84fe27605c98710536199e3829abb5,polito.it,-60.0,33.0,721467187.0,127198847.0,Professor
1420,52c9d1428c6243aad03e4a26b59153f4f7463a3b23e22adbccef5ebcbf834eb0,a9bdc017425a98860e509564bb85e217e586d338b123b02271307c2fa9f8e896,studenti.polito.it,-56.0,38.0,28077784.0,6714342.0,Students
1421,13546182cc3d07d1d89ecd62fa3573942166943c9554738f2d5df954f12136ad,565fc7d1755b67ae02831a0e195cef5e3a045981e44e1e13917482b09899dbff,studenti.polito.it,-62.0,31.0,50910077.0,25913276.0,Students
1422,cb3cb9cd572723a4da3d140758ec41e4b7730b51db499f90f21f5ebf532fc92e,de0039cd54f331e4fbf4ec3adda0a9ede1f2a8f6c9b63478504c69d023db770b,studenti.polito.it,-74.0,17.0,3160283.0,1399473.0,Students
1423,9e05bc178670adcaef82d346e3d057711727d7e1d89120eb51719788e71202d1,a9434927c55e9d087a837e2fb0c6ecdaf803ac8236e5228af1201fc2932c98ec,studenti.polito.it,-49.0,43.0,248259172.0,30999045.0,Students
1424,7ce38ec084a7e1c58ddb4ac46ac5173bb4478c27faa88564f59b863d1f4915d3,9e409f9c83570c746380500c2c13beb501c1ee3820d26d181070450a144af78c,studenti.polito.it,-52.0,42.0,2713333408.0,103754794.0,Students
1425,ce679ebc3e9672bdb23b60258a592de36a69b543a52459785469f38cdada3146,60738ce30875169a8677395484aaeb39b0d002d17f3814f824c649b14f51fc59,studenti.polito.it,-52.0,45.0,125277013.0,15803707.0,Students
1426,04e36c43b275408406e60a73d45cc093cc9938d38b2f9d39bc87a1a8ac5bd419,a2fd478c7b07dde2505696d06192d9cc2bbd501c2301c4e5bdbeba2bc4e23539,studenti.polito.it,-62.0,34.0,10210217.0,5077822.0,Students
1427,61dc00da3b8bef66466d0b7d0b78cbdf5909f22c5f54c1a69bebd657835b6249,ae9ac91f6d0d14bafdd1dee15e2b0e5816d9424f4a9a190e57660e8903740a2c,studenti.polito.it,-54.0,40.0,15903058.0,7730083.0,Students
1428,d14d8d4e1e3d9ef3985f9e32bcf0ddc1cbd92c7a25201e6f537aaf6de294a17d,6711af09db4beda5c4eb90b4c300b661445467a321da5b47a5ca3174a97febb2,studenti.polito.it,-71.0,19.0,554495.0,497256.0,Students
1429,825fdcaa0eaa137cc2051a11600300e30bd4d0960759382cc447edb745e5a3fb,fbafdcb2235520facaaa85856b27d15c5586b5ab339a2b88555e17529b5ae54d,studenti.polito.it,-78.0,13.0,589381712.0,77651919.0,Students
1430,efc11f7594ba19fc79a2e8ba885473af867498aa39b58ba52cd92a2fc3a945d9,879efa69f643f28f584c8e8d9b12cbae83d1183b33b90a600e94cc0920fe4e90,polito.it,-58.0,37.0,10161.0,1332.0,Professor
1431,edb56f6a15382d7d7ae822fb2f3cc14081cabfc5770cb169309144fa8b9be330,add9e040a1e1fff03c9cdf282af9a9ba5b0c37e545c076acb69d9c5c396b4093,studenti.polito.it,-59.0,36.0,25525406.0,2466236.0,Students
1432,b11e5f0948413c2564b89d2061bc42417e3fc20b315f1f7451bdf5df638a7b44,c6ed9fb95ff977816426f4fd751b56cc308ea02fd77f31a79e981559e7bee12b,studenti.polito.it,-56.0,36.0,99241651.0,10177749.0,Students
1433,89a8429418301190dd8699f6a1e3d5f6cff32156f900b4eda759765091104830,b0a53f8c390c24bdf4f3e195fcb2a1daa755c017f8c96bf0e714692c9653df77,studenti.polito.it,-57.0,38.0,1389093.0,594602.0,Students
1434,95eb3aa505794c4f9be16674993b3caf2df0f398c73d0038038752902288c606,8dba4ad99ad2ab83a5c520e56f8d3b6415b254d3c2abb1277c924cf370f24f8f,studenti.polito.it,-66.0,31.0,33051834.0,7555018.0,Students
1435,785a2c9624f4093a71cbcb699d5d17d9908e2c1fcf7c4785fdad5f4a2e6fe531,fa11f2b5b60368115edc57384cd2b6b47591c5d9f57b1331c2b00e6fd5ff0384,studenti.polito.it,-53.0,39.0,26467338.0,20827402.0,Students
1436,5288d514325ee48bc6b5aaa07ff307bf471f591d249c67942c0f975e26033119,a3f797209e7b58abe045cfda05c121d796d3daa7c24dc19001f2ec85c4e98af2,studenti.polito.it,-41.0,52.0,4111812.0,3625478.0,Students
1437,603aec2fc2c10c6f07fc27da7790265983358f14ddb4250d45332271f4beab9d,d6d3173e0e0db3b10b7fd16800ec7aeae0e2538e60b2cf74209b516ddf11651e,studenti.polito.it,-42.0,49.0,22576661.0,3020714.0,Students
1438,bdde088bf56a21ae1cad1ffa053500ec72974646e23d46dc7d9e0e702c977824,e354def74b1c8e61fe09b00008d4ce169a7b5d6e7c458c97077ca9b055381e13,studenti.polito.it,-61.0,42.0,119383398.0,19242262.0,Students
1439,30e40486706ce9371cbac958afea8cdd37aa659006be33983aef3d152e5a45eb,db188e79d7b2d63fc50eaf337391b9723a7915c21464cc3f2ff2c06f8ac4d44c,studenti.polito.it,-71.0,22.0,309344030.0,35938971.0,Students
1440,14db02a32430455b8a2f3a11bee8817166dadcb090504fb8452111f31342c5be,4d72517b37a7c59fb6ecefa643137984dd61387f7f951a75da4d70d099cfbfa1,studenti.polito.it,-55.0,36.0,612542058.0,126629875.0,Students
1441,d7fc216eed424e7f542a07d81d7e1d2f8632ca89d58aaa14cd39e270987a1ea2,e0b821913bc3b1b8702942018f1b316a6a68e3d32986ba37de1dc0f56dc12847,studenti.polito.it,-49.0,41.0,15409195.0,6666657.0,Students
1442,0d43d3920f343915eaa9436fb6ef8fe8db9ac49655b274ec98dbb6162710f467,1386080bb856d2fef1919ccac7d5e4e5e20d643ddfd0255ba8129fad2e7ac6ec,studenti.polito.it,-55.0,40.0,22250634.0,5975839.0,Students
1443,ee87dab88fc6caae4dc94557ce85d54de73f36ee382254b520eb613b747bd7e2,4d985d399a6a65f5b2073c62dc779396b28ebd48364a3a8fddda197d92c7c7e0,studenti.polito.it,-52.0,36.0,28158253.0,9331230.0,Students
1444,1f04d75b7b0eb035694059389106fe4ee6674f48aedbe5d1499484173791d9ed,2b4d76bfc883ef26313581bc4aba96ba03b225ed167d32251ea65280a097020d,studenti.polito.it,-42.0,54.0,8495061.0,2187108.0,Students
1445,a53a5b47aa79ff23d3296d9ade434efe52d6eedd76847f4e31933111bbe01b3a,114dc9035f6f93f406b15f2788bf4a25b3421e85216a6343f245cdbfa1c77b7a,studenti.polito.it,-51.0,41.0,29037045.0,3928807.0,Students
1446,654d0d4caa1f61475980535d9ebccddad7d2c3ae7b501275a4c2bc2252f439a6,ebd31f865d0724e43593e09db0a032ac75e106b94cb8ec941762a3748a9c250c,studenti.polito.it,-48.0,47.0,3859525.0,1803014.0,Students
1447,ae6d9f13bc95eb4b283e75c4cfa6003c5d5a94e4e3eafd956f18a9e58ac11d76,e79d6cff64a7ecceae60d88ac705e5519e851ee81b9ad538ddc0124f2f33ffeb,studenti.polito.it,-58.0,37.0,184638199.0,19989597.0,Students
1448,9ce147bf5204563dd028e14011cb612ee20f1d005c8cc0e52f8c382d294d9fa1,0912834910a16354a5c408ad4f10d05d1ac1633b795520d96607040063449a1c,studenti.polito.it,-62.0,29.0,42156701.0,4034163.0,Students
1449,76ab48579c6364d34a25fddc3632fd2a1d714b3dc5f48528513c70e7df90c01e,4fd3da9bb0210396bb324dfd47c49550509d8a9c7d204e7161246236cdf489b4,studenti.polito.it,-54.0,38.0,330523.0,4639496.0,Students
1450,d50162983ee2421942545d4a5ec0f4e75dfa3023bbc91c8659b3fb2d18d9894b,82d8477f54909ceec465c9580177ce063fecc9abb8763b61812b71b3db9959b6,studenti.polito.it,-51.0,47.0,3768102107.0,45414625.0,Students
1451,69495b2c720f50d849ff9e758b5b795740c6f59c989fd18f0f00750727fc6c23,c1b08db84620f8af6bc46b4faddd7ff1ab4cb552b4cc91f05c8c58ff87810e6c,studenti.polito.it,-51.0,36.0,39813029.0,2470477.0,Students
1452,840640252c1f135fe0f4bd604be6b72ed21bd839037e5b384e6fe8b7618cc080,454259d02d7f3fe6a21bfb266870abaa7e750487a38ef9b40152fa9a759dbcb1,studenti.polito.it,-79.0,15.0,1036547.0,140257.0,Students
