Timestamp,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
1709660771.7893784,160a7596d9a40a2b894d78f2ab93259d89b5202519a19ad82e985a5746f2c08f,605111387023636568a9f07287b2f3d076878777dec645258c21565098a65fdb,studenti.polito.it,-46.0,49.0,13441768.0,4229443,AP-AULA3P-04,Student
1709660771.7893784,d10ae270fb0c03481825d7ad383fcaf9cacbfc082c48a1f79c28413fd68c2f63,,,,34.0,325.0,569,AP-DIATI0-01,Unknown
1709660771.7893784,f62e788829d52c45044ee921eea8f76b454604e8904460c7368c09179fe1cb61,8ca26f2875260a2166d3554f6b492352552faa517bce6876c90d6fa0650e90b4,studenti.polito.it,-48.0,47.0,593398049.0,19819714,AP-AULASTUDIOR1-01,Student
1709660771.7893784,fe9cf94218470ef6d114e615f101ac3642c21bf9a2603b3379148ad38cd9bd0c,4407f4fbb5516e9a5bbb5a74bc386a682b50061cff1a61dda42e8ec57c9f8d97,polito.it,-70.0,23.0,435598131.0,107634533,AP-COV-C3A-XP03-02,Staff
1709660771.7893784,ce3d57303f9a2e5522b8d1223c82420b66010c1f2d994b3d417e89831e8b22e7,d917d0cb92b5932b4172c6bb25250bb41649bc127df3d8dc6865e63bbbf715e3,epfl.ch,-57.0,36.0,6028806.0,5914392,AP-VALE-BCA-03,External
1709660771.7893784,ce4288ec8dc6741a9f694f39dcb4adbd91e39f4a1f9837e0ccc8e2e81e1d942b,3a58251e5ad49089deb56aee07dfe726943ffa340768e1e836cc76b04248780e,polito.it,-50.0,42.0,119018351.0,470702203,AP-DENER04,Staff
1709660771.7893784,97c0b23a79bdcc21712d64c988a6da7b3ab7578e11e87d9d51207f54a4e9b90c,6962c6626c82cc97446a34320d781364da620f3e62ea8d2fe68ea16ed77fbe9c,polito.it,-76.0,17.0,1507305045.0,213331938,AP-DIMEAS03,Staff
1709660771.7893784,af1386f6a3494a033380e82464163fec44e7f1e0b422afd48dc96b23ee1b0ccb,38b56d739b61e2213e9ffe7be5851379b80d9d8066549c63f76ff3afd537fa6d,studenti.polito.it,-64.0,34.0,21504761.0,1585945,AP-DISTR02,Student
1709660771.7893784,690496a7fa67d2417ce55c78dfffd0c886bfddf2fc7aba2e0dbadeab6f59bd1d,d30818d3ba35055222fd677aa78b947e458a7bbbe5c7218ee7a648c62125e0a1,studenti.polito.it,-69.0,29.0,228772019.0,349826119,AP-ASSTUD01,Student
1709660771.7893784,02ff347a79da589a0489c4b938c7b8014094c9d6098aa5cc4b6a3fbdd44ae36d,1f7258b8e6c22ac1fa88dbd8e04e6bb47e8443fddad571476c0fca689df13007,studenti.polito.it,-48.0,33.0,472931374.0,36887383,AP-BCI-TZ-01,Student
1709660771.7893784,47500f85e0509250be4c9e4f2e9436ee7db1da60a1331510eb207e8f74e63185,4abd102d8721de25285b3de4e4133ba1a035343eb75a2dd4467a34080ca4a090,polito.it,-54.0,37.0,890579578.0,1879477477,AP-DISMIC25,Staff
1709660771.7893784,48085dff0781d959a45f21f61470e1321d7d30d0ab8d39a176dc172c0e8455b6,adced1a4e74d75ce91b22566779900d0d3e054632a8ffee05238139e75b9048b,studenti.polito.it,-43.0,51.0,3283404.0,1110821,AP-AULA17A-01,Student
1709660771.7893784,b782d1b7d1cf2a14dec074625bfe2c537d3d41df3a33ffff971af2e1c0750415,4191140654d9d30d533dd602fc4b03681dd5fdbea2a7de898e27b309baf26d76,studenti.polito.it,-42.0,53.0,984093246.0,25762048,AP-AULAR4B-01,Student
1709660771.7893784,62dae0ee480b73bd1c26f82eebd9a311286c7373c1fc40d6563631b16a572a19,806e6e208dc54d46da2984d570a4ba2ae0f1ceeda74ee0beae6ae8f5cf847746,polito.it,-47.0,48.0,176951042.0,19078429,AP-DIMEC18,Staff
1709660771.7893784,9e187a01f2f81144bb8eac3c4a44b4711b374f51d070d3008aef0f72e06ccc36,b12c701c8d33da3fae3bd3ecb22b0a248e050e91abaa5eafad1256177a7c12e0,studenti.polito.it,-50.0,42.0,57191136.0,8095710,AP-EXREALEMUTUA-R2A-P0,Student
1709660771.7893784,9411fa93ca767e548d8afba8f1988c38f8d988226dd95d8b2e8940797aa6a9e6,8b8993fb01fcb6dbb91e20a806bf70e09989604d01fb870c33ae1764672ab87f,studenti.polito.it,-75.0,12.0,72577937.0,18168836,AP-DIATI0-01,Student
1709660771.7893784,2278b1b61d5d08e7d8f0b0efa514d3bbc9ddc7486019bb65ce670262d016f4cf,e97b29c847d314cff5255c0013e0f5d14f3310e7601ecd8d2ad2c9a9e212c798,polito.it,-66.0,27.0,8684561.0,5380458,AP-AULA13S-02,Staff
1709660771.7893784,d28b62303fb5ed4c4a527bf620d6aa80dc41d5ef320ba4a7a8e999d3a8aefe77,8ca7a5194a21c0f7496317670670bc9d89beb05eefffacf6725788ec9ae76371,studenti.polito.it,-55.0,37.0,539781194.0,37182199,AP-AULA5I-01,Student
1709660771.7893784,cc0a6d408ebf2293b2dca3c4956461ebf7c77c3fdad844ec1365bf942c7dee1c,bebe70dbe905cfa4a75a5c0827ece3e9b9a73c202c71102efdc8978ef056d9be,studenti.polito.it,-58.0,30.0,990916.0,581651,AP-UFFPOSTA,Student
1709660771.7893784,d84fa5aae24c631673e62834537f48de4cdb9b03896ac45cb977f06a8414b5b9,7e575e5276600b3686f45e9b70263b4a55b296d76cf111a02133831b8375eaa6,studenti.polito.it,-65.0,28.0,2926236.0,662707,AP-AULA4D-01,Student
1709660771.7893784,778f9ca807741c8ccb9bfe47a6893761002da4132d58ffa666ceaa8dc616b50d,deb622b51dd30add03d896420d84aef0c4e0db38538dff388a114ca24175b39d,polito.it,-47.0,41.0,23473426.0,4005175,AP-AULA13S-02,Staff
1709660771.7893784,69d42a01dde999160c26cef6d91cb96def0b0986c6ba70b6564344a972226b6d,b7640d0f8411aac6822e075f79626d90ef0ecfc3218e24afe52b3b19beecf195,studenti.polito.it,-62.0,33.0,46192772.0,4533989,AP-AULA7-01,Student
1709660771.7893784,4e4a09e47450dbe221f162038bc1d1ea945aec3a185845ea77b4d5aad86ddec9,c0f7c40cd7d7193c7f2c34f3020090eafa4fa5be520362a0f6cdab25df430a36,polito.it,-68.0,27.0,4486240501.0,73469556088,AP-DENER06,Staff
1709660771.7893784,86dc0f7c46d0baeb1172acb4f55297aa9239f9b07f9d5bf14c6ef14a9806ba2f,93a498c68eb0e444d696af81895dd69bf68e9b1e2edbfcadcc1b201b00359c1a,studenti.polito.it,-59.0,35.0,381738099.0,8360055,AP-AULA3P-01,Student
1709660771.7893784,5aeaef077141d41afbd459b6b026d5c417238df9b47444adce61fb8cb23de9ea,f6396b1cc9c0052880c41631175f7fb6600984d8f1241fdbe6c0afb363d6ffe8,studenti.polito.it,-61.0,32.0,2245724662.0,48175272,AP-GESD2-05,Student
1709660771.7893784,ec14b789f8aa508a9251037856a1ba03d2c21d58af9b19d0cdca9ea6729bf23a,212d3a4e6fbbf0e675ae722a96ff544fea9ed6f14f9b5189f95a164ca82cdc47,studenti.polito.it,-42.0,50.0,141726842.0,11851408,AP-AULA10D-01,Student
1709660771.7893784,81431c58cddb4eec503a2c56b3cca560a3d915b0f52117b5a67bc304f84390fb,1035a3683250936bde020fb901cd83bd50b84cea5fcf88996cee976ccc4a57a0,studenti.polito.it,-50.0,45.0,391114617.0,28632743,AP-LING-AULA201,Student
1709660771.7893784,cec4939fad63588fc2cb65c990714cdeceffec54291d6bb4afd4ab4c3e55798b,6065bf4135f902a2d569ccd3d47b8b1a41b4e600476dda8d0b915e7d655f85f0,studenti.polito.it,-57.0,36.0,2164199.0,1034041,AP-INGCINEMA-02,Student
