Timestamp,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
1709661310.9910815,160a7596d9a40a2b894d78f2ab93259d89b5202519a19ad82e985a5746f2c08f,605111387023636568a9f07287b2f3d076878777dec645258c21565098a65fdb,studenti.polito.it,-76.0,19.0,13450792.0,4253745,AP-AULA3P-03,Student
1709661310.9910815,7078b5847fb32605a4aaf4c3f7b9a1e5b37bfbc9e5ce4a7d59f2d87077402a3b,,,,17.0,0.0,0,AP-DICHI-3O-P3-01,Unknown
1709661310.9910815,d10ae270fb0c03481825d7ad383fcaf9cacbfc082c48a1f79c28413fd68c2f63,,,,24.0,467.0,592,AP-DIATI0-01,Unknown
1709661310.9910815,f62e788829d52c45044ee921eea8f76b454604e8904460c7368c09179fe1cb61,8ca26f2875260a2166d3554f6b492352552faa517bce6876c90d6fa0650e90b4,studenti.polito.it,-46.0,52.0,626763514.0,21692629,AP-AULASTUDIOR1-01,Student
1709661310.9910815,fe9cf94218470ef6d114e615f101ac3642c21bf9a2603b3379148ad38cd9bd0c,4407f4fbb5516e9a5bbb5a74bc386a682b50061cff1a61dda42e8ec57c9f8d97,polito.it,-53.0,42.0,443601783.0,111377338,AP-COV-C3A-XP03-02,Staff
1709661310.9910815,ce3d57303f9a2e5522b8d1223c82420b66010c1f2d994b3d417e89831e8b22e7,d917d0cb92b5932b4172c6bb25250bb41649bc127df3d8dc6865e63bbbf715e3,epfl.ch,-60.0,33.0,9710138.0,10109973,AP-VALE-BCA-03,External
1709661310.9910815,ce4288ec8dc6741a9f694f39dcb4adbd91e39f4a1f9837e0ccc8e2e81e1d942b,3a58251e5ad49089deb56aee07dfe726943ffa340768e1e836cc76b04248780e,polito.it,-55.0,36.0,122739879.0,471671370,AP-DENER04,Staff
1709661310.9910815,af1386f6a3494a033380e82464163fec44e7f1e0b422afd48dc96b23ee1b0ccb,38b56d739b61e2213e9ffe7be5851379b80d9d8066549c63f76ff3afd537fa6d,studenti.polito.it,-65.0,33.0,21517669.0,1594135,AP-DISTR02,Student
1709661310.9910815,690496a7fa67d2417ce55c78dfffd0c886bfddf2fc7aba2e0dbadeab6f59bd1d,d30818d3ba35055222fd677aa78b947e458a7bbbe5c7218ee7a648c62125e0a1,studenti.polito.it,-68.0,20.0,272123303.0,381829156,AP-ASSTUD01,Student
1709661310.9910815,02ff347a79da589a0489c4b938c7b8014094c9d6098aa5cc4b6a3fbdd44ae36d,1f7258b8e6c22ac1fa88dbd8e04e6bb47e8443fddad571476c0fca689df13007,studenti.polito.it,-50.0,15.0,474920026.0,37306104,AP-BCI-TZ-01,Student
