MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
6433fc86355b527b9aa406df2e2f5a5bd13acd17911b706506a4fc9bdcd7fd8d,0de19bb549b4e4aecf5daa7996c2807d151f9b845e64bc5288ae7d87d26c2b7d,studenti.polito.it,-52.0,43.0,50785.0,221291,AP-AULA08-02,Student
5c6acc799f0c3b4b2c7f1d21810a8132d19053f060240fcd7fe64f2d68f4059c,fa3e458139de9cca3a3993358a08fae73c7b2b25f68e4fa9d7e7c21bb669f916,studenti.polito.it,-58.0,34.0,901031.0,217040,AP-DISMIC-1A-XPTE-13,Student
143c471598feefe46c6b6c49edfdb01bfbd35472a3362887061a88cfaa137181,58b5f835066183526609ea7cd63a498339dda6f864d4930564b5773342bac62d,polito.it,-66.0,29.0,175680326.0,23530383,AP-SETTE-AULA13AM,Staff
a1bd45bb2ad4f94d4335a434bed0a3d874dd104c379b691328200c3e6f81dc13,ab19b9e5c5a3dc1382009d30bb210de403bbad467c60a94c0c5dafa9a2e68bf4,studenti.polito.it,-54.0,40.0,159560.0,188838,AP-DISMIC17,Student
4e6f57ed567b327b6a95971aea240034eaccc1b6ad5950327ae3312b676d8b1b,28a32628d28068098c68f1014321c137de8ac2faa9fc59814644b021a261ef71,studenti.polito.it,-60.0,33.0,1033781957.0,24810031,AP-INGCINEMA-02,Student
a56627eb15f135c281076d9e02eeec10ca2a781a9e07af22324764e329ab79bd,689f7302dfd8ecb7268a3f2e33eabded36533606989ece5f31bc5e08c0a43b66,studenti.polito.it,-82.0,10.0,153031483.0,16827305,AP-DELET03,Student
68d1f177a66bd7b24bf615a0d3851f5136509e8fcd0560e84780ed1138ff4da4,a2d05ea6d723f20936884df66c4f4aa5901085996e68e50720e2d5da7b636d2d,studenti.polito.it,-52.0,43.0,29692383.0,89564095,AP-BCI-05,Student
d99ae1533c29db94acc8a3f51af338d808bddfdfb2aa270235e3f1ea569e8f6e,03a0fb42ac0977cdc7226ce7149703ebd0506efbc3c4b1c78dd1763d56872098,studenti.polito.it,-62.0,28.0,54553526.0,3741145,AP-DELEN01,Student
e4082482c8fd649f20802e21acd6aabe725c4d9543e23e8afc8104f5896f45a1,466200ad734c93c63c67eb5db69abd84035e2c55b0329916e6c8c55849ca13ab,studenti.polito.it,-50.0,43.0,299861.0,134179,AP-AULA2T-01,Student
620b8ef58dfc3b94dfd608f8b79b30b17605659c2bd7bc5cff9dc97115aed05c,188141df9d6c86f0234c07a01f1910341b1368fe0ef90f3611d44682229a1c37,studenti.polito.it,-84.0,22.0,61075401.0,5229099,AP-CORTILE-06,Student
7bd42bfe371eebe040fb19a317c7ce098be271b7d86fa05f7a8bf38a9e25d01a,bedebc18e27c01fd0abd4205767b8a57e1b9eb464e3f2ffe2d985bf999121c83,grenoble-inp.fr,-85.0,5.0,3975096.0,1491022,AP-AULA7S-02,External
27ac5ccf0a078c57f793f234d718d1b97c8025f8ff1c0fa1e75d97c14ffa12f7,d4ca1144792f67d182416b228199d85e16f0d396d3f0477d4cfc3c30ab870bca,studenti.polito.it,-78.0,20.0,3497749.0,3617164,AP-ASSTUD01,Student
7ac8d28be186575ce8e6ae9190d430322532bde6df2577904d38411bf5f1e334,4e6bddc40ecb5f154e023608d6d0f2bda2801bd4d2f581707fa9acda0bd5d521,studenti.polito.it,-42.0,52.0,380495091.0,1249911884,AP-LING-AULA207,Student
0b35bab9b6c39fa58f849af70a5e2f15e28268995daaed20a38ce2dc14bb2bd6,eb01719fa981a7db33100edbf10deedf432f02f2ac9bd00112b00bcd2952959e,studenti.polito.it,-66.0,30.0,2602037.0,1424335,AP-BCI-05,Student
2116db6fd0648a2d6b984620e8d71a87813e4ce1c896d94df32dd84099e0a7b2,567281e8daf0285e8b04f369b2f468be10e0b2add8df6be78fc1aba4532adeaa,studenti.polito.it,-53.0,14.0,0.0,0,AP-AULA3M-02,Student
02fea171d75f233597eb4cec1713d57d320d0f8e46ae11ac1f6e8a9e21e5bee1,e760d21f4d7c37dfc9bf56ffb6e4f90651437dc2af0d69811742817328e684eb,studenti.polito.it,-70.0,21.0,188807882.0,2884150,AP-AULA1I-02,Student
8c2fd34ae4e9f0ebc8d1d647fc68f8f45c4bb18d5ea8bae6608bd503a8558dca,2ae3c3aa67e9fdbc8c9ae3f93de6581d80e3da45e1968b168ede65f42cfce8d2,studenti.polito.it,-41.0,51.0,5214915.0,3129674,AP-AULA5M-01,Student
3c88eda81917340a5feb93abd9f98b0606c73e050c3387c8bf121489cfe3ffb3,d8803901c297a3ec5b957f07621436f1f6b5fdf13bf25686c19e7b74edbec17b,polito.it,-60.0,34.0,69410019.0,6318779,AP-DISPEA07,Staff
3d27115de6c98862739a21070018e4ef610e954b9053ee251ac66527e7b3984b,142595447d2263608c97cd79242514ba2ae7476fa3b6bf6e389459a9373756c3,studenti.polito.it,-46.0,42.0,320454329.0,9846144,AP-AULASTUDIO3-3,Student
6561d2d57b0bd64e1b43979a9942b928697496f2d90b2e4a5f4bd48cf6a7350c,12832d9b6493c98e9864e1c752b5927d3027b7ce828dd012523ee78016073974,studenti.polito.it,-56.0,36.0,112186096.0,6382079,AP-SETTE-AULA07AM,Student
b03bdb7c75887025e3325c1356c605ade73dc900cad5227a51dcc40109fd1857,f57e73dca7b1733d3eb47944911a8c4b18308cece2fb77305f42be413a951435,studenti.polito.it,-63.0,32.0,12672878.0,1860781,AP-AULAR2-04,Student
0f9a8aae291ad2d8f2a47f6f7dd52553a5e7eb860f6fc67626e3c4ed634217d0,c0ecd225aa1389c71c412ef20e5b5985b5ee8efad30a1f1de042c8107999fa63,studenti.polito.it,-58.0,35.0,50734.0,48120,AP-MIXTO-02,Student
c1b522efbb551e6f12aae02af06573f9069a7fe89985d8c5cc77bc9fb5af48d9,96b699ae89c3e7749c213b26a7d4b460cfe67eabf481fc2ec48e91e54fb7da26,studenti.polito.it,-60.0,35.0,314716863.0,18363274,AP-AULA1B,Student
8b7c947ca1d1d48ee5cda9cee4e711ec78fa36602cb7110eea6cde188f32fb35,d6133245f311e7d8f53ab7be80042ba0d03e687eab2a661a039b8e534fcf8e88,studenti.polito.it,-57.0,36.0,71091146.0,192763655,AP-INGCINEMA-01,Student
1a5c291315ebcce3a5fc821645336b5c6831f91ec1e3549363b871dad8d4942e,5d87128fee1aaff50f9e8fc26b870feda126636e846780172c5b155bc1bc32e2,studenti.polito.it,-59.0,34.0,176247.0,77411,AP-AULA5N-01,Student
941c375057de98e09819f62a36ac8c1b7dc3e1367b34afdb63023373eb527d51,27ac2f88b38fb11ac530bc1bbcf0709a9e912cc33223a68918da11161c7d6cf2,polito.it,-64.0,31.0,109685708.0,3675734,AP-RETTORATO-05,Staff
fdb419fc89dfadcc012955383de2af572ee1186a3503684c5726ca4af950b3c9,47fc428713ae4ffa435240cb97f4c72fe67cbc361c3d5b55cfb0a7cffdc9ced8,studenti.polito.it,-65.0,29.0,142353.0,53866,AP-AULA3N-02,Student
d24d19138dc213e44829f62459381bab69af6b89b0247b7f1eba0bd133e7c4d0,b0412aca8e5b0735f100acf8bb9d1988bbbd9e181be4c9ab9d88db83e43ab500,studenti.polito.it,-58.0,37.0,1733198.0,213453,AP-AULAR4B-02,Student
eb5b638b8b01b556a7f30645f7ac10adc21957b2abacf41a1e9066376c86cf8f,658aa184d09c0d09e7911678af7a894495e25678d289d6621cf9c8f5074bb042,studenti.polito.it,-65.0,27.0,4787629.0,1114130,AP-GESD2-04,Student
