MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
8954ab0ae7ef14bc9cb1796bcae7d6e2fd8d8a3cddc92774dafdf15460285e58,f9b15dd72062d723e216826fead95b4116d4b73c25699bbb8ae6a806c98cb061,kth.se,-66.0,25.0,23843134.0,4892158,AP-DIMEAS03,External
de5fa34f30a96cd4107b1d5f18848505f896103edc16aaf02ffb4a2c8be1a8c7,b13ee685e71ebe9aa85e1f4595e8c0e1e2ffbe2b20b1df511bf68f534b6f565c,studenti.polito.it,-62.0,28.0,90972556.0,16009539,AP-VALE-BCA-02,Student
4d5e6376b9cbc1ff6c1793c44f37b5d353842ccc008c14a03c1cc2c8f06e2aa7,17143402065b0888de4c375039f900a2a851db40bd4e0637d4169ad924802642,studenti.polito.it,-61.0,32.0,34930350.0,2484545,AP-AULA4C-01,Student
343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-60.0,32.0,1076388.0,16080080,AP-AULA1I-03,Student
c4281b9002056543d1b2eed081d1fcff91606e69fb3f36006ba75ecbb696d1be,5ff11f76f4403362b01865cc08b1273a3a394d4acaf24d2978f1d67047377f4f,rug.nl,-71.0,22.0,1012063401.0,351235975,AP-SALAMICHELIS,External
b1b312ed5351a6b448477492b8af3b923970df2a241897adf23f563702a7190f,bc63baca86eab73b34927e3ad13bf767b98a60225c6bebd12a32bc5bf4e3070c,POLITO.IT,-61.0,28.0,131397030.0,18214147,AP-CORTILE-03,External
8c9f4e0bcfb26c16c27a84e38d6880ce71962fbda4cd3b0cb3cda2cea425d5af,,,,10.0,502041.0,52745,AP-DIATI-1W-XP01-02,Unknown
0f558425195b50899aa0673abbf676f0164f895ba14621182b3d79034e6e05f7,4cb3f940757ef26c63338b6bf38705c8c3784d98736bdac20523e852fb60ba5d,studenti.polito.it,-54.0,38.0,3726003627.0,51669524,AP-EXREALEMUTUA-R2A-P0,Student
75b6b8eaea670b52c9484f6a3a83677fd7d98d117e20eafa31941789ad49194e,1be888fbfe78194e0f2c1f1b539ee7536151d1b0649845274c898fc01e5cafc6,studenti.polito.it,-53.0,42.0,506554658.0,32425560,AP-CIT-EXCELID,Student
069f3aa6a2b45b0426b9a987492f521a48be10b43af447a9cc7793d7e238264b,,,,36.0,816.0,1082,AP-AULA11S-01,Unknown
0345ca52a359ab944b21d490cdbbed31fbb8d4e7272afb2d6f638496cc481587,de2ffb14c77c0148ee714a9788f958198225bd491f5e6425c5a9b6a27e1d6ff3,studenti.polito.it,-49.0,44.0,19792747.0,829301,AP-AULAR3-02,Student
afa83f8b9227617bd9fb6802d6802dfe432d623a92e7e6646f9e9aba2a094031,5816ee40619d968f37d6c758acbe6b18ffeb6edf39be9beaec64f49339b21d48,studenti.polito.it,-59.0,35.0,255921.0,101572,AP-FISLAB3,Student
6edcb40b0b296b213726eb49b0bda526a0463409bdfc74a75c580a60e11132f7,3e975e42aed7b8f4b732054873752df3e8fbb27694d5e1db4e5e1d42d5ca776d,studenti.polito.it,-58.0,36.0,312865392.0,64903680,AP-VALE-AULA7V-01,Student
847681ed10aff80ea2101a541ea2f6cb2d9171f7c1e1e9ab5082679d699eabad,cd2286d9f1179dbf05b15600b0d1fdfda6b4cf4c021f7a30f0d79afd425c4531,polito.it,-35.0,55.0,8814887.0,6701736,AP-AULA9S-01,Staff
298712d6e493797c9b5352d3a56df567571df478cf29ce9ea425162ce05e75f7,b56c4557643edf48779210116f303b7485baf557d5fe399b29780aafa0295880,polito.it,-52.0,35.0,673280472.0,68082018,AP-AULA3S-03,Staff
4aa2ec2541935bc2fe400631a6c46c050852ca4e70a8406e3f3c119c07c1e806,517e06265cd1f3ef6787e61b676e9f15e25b1060a14e97c1cd9014ffae477390,studenti.polito.it,-46.0,46.0,30539286.0,2683943,AP-AULA05-02,Student
b6404d5a542214d60d8518347d9367e23c5cdc2b8677723421bd0815779f8f31,3b8bc81310e33a06027957f8ff9832030667469bdd59abbe418bf1a33010a113,polito.it,-57.0,32.0,2897454.0,2502133,AP-VALE-CHEVA12,Staff
4eff4f83e7f5692dea56af75dcace62e96c5290dfdcb526899e6c344f13f9591,65203c7d0c4994e5b0ad0d5d9c28dd9b6eb3388eb90eba4cb589b5dc3ab82b20,polito.it,-72.0,19.0,79696165.0,18292612,AP-DIASP04,Staff
5596c7d7b46a4d0a6a7912b8271aad140b0f2aab80cd7f6cf4e2b91198636311,1c6e2b611ef878c1a684dbbbc3d1766046c71ac2a33bf746ba2cb309f429860a,studenti.polito.it,-53.0,41.0,904840534.0,104651311,AP-SETTE-LAIB2S,Student
a55516b716575664cb98939fda7a8840bf9073244c3f8f42ae63c2a5321ef882,a84d69d4dfe2dead7ea62d2df430c96ee52ea5f782d857dfffb0e127a403f6e3,studenti.polito.it,-52.0,41.0,227691974.0,62487671,AP-COV-C3B-XP03-15,Student
41ea08e1017233d64467382ed519e06a6a80e5eea41ab0b7ed00d38001b41be3,650eba85d13a8ace2c82603b10d4388c95101e6abc59cf954fa66abb68f13c40,studenti.polito.it,-45.0,47.0,1666216381.0,746661897,AP-SETTE-REALLAB,Student
fb6ed8ddb81f7eb79d28eba747aea39b8e28d5aae23c7a51dc04d34bd8a4914c,cddbf9238840bfb81d55ff789a39c0046da4701866f4f932fec2fae79ceb589e,studenti.polito.it,-50.0,28.0,38490144.0,2660268,AP-CIT-DET3-03,Student
088bdd42c07a8a5647a8d8081cbd6bab360da8999ed61c8ce52698455f38e055,212966c9a3e20a4baeabaf1d6b930b27bfe9fe46e862847e293295c3cf172e56,studenti.polito.it,-53.0,39.0,303660775.0,29014569,AP-SALASTUDIO4-01,Student
e48a1666df373d9f9d896ab3b1fb7f1e90f2e3535716db1fa0aa17e8739854e2,9172e4b6d9177452ed6277cf905564726fbcf9749937fc8c9f20c91d6e38f2eb,polito.it,-60.0,34.0,154478087.0,21560800,AP-CIT-DET3-02,Staff
13feb50eb323d8650a4740ec12d9a73341ea17dcdd4e06170fb581bd8b53cf67,31e6cb3bab6b6d803e1be1b6e5b083cf0c1a7ef539d2f8b759e61145a71e9fd3,polito.it,-65.0,31.0,16697325.0,4836704,AP-RETTORATO-CDA,Staff
007e8d59788ee048f7e4337cf0c6633d421d29265d9477cc706cf1b14b1cbd3f,44a461633f46403671566ad1cf407803d7f3bef38007016a596de5d757da1b09,studenti.unisa.it,-44.0,46.0,132177591.0,25424604,AP-AULA3D-02,External
d4e7d2575fd4bd42a0831baadf060f5eb3c05b3e77b71fb08c6a23198975d934,3ec089d9e7ece48271d8644431c53296170df961b592f64876f87abe1ad5e21e,polito.it,-57.0,38.0,1745334391.0,613551848,AP-DENER03,Staff
f07dacaa45d6ef5159d88fac13619c74532b950714e0fbfe36cb6d0e6d63b642,5c00593ef829eceed4e6aa6354e33d219f7e7716eaa49af9ad586ba40a7c7f28,polito.it,-74.0,20.0,563132811.0,406559152,AP-AULA-DENINA,Staff
e28c67ed57ca5a5ec7527652f59dccabe7a22ab97dc9553e98e3e5e32b108ce6,93e9f830387a17462dbb472b5e00ae78444d115e873ee5928dc9d12d3fa7d1b7,studenti.polito.it,-42.0,49.0,24324789.0,7094379,AP-AULA5S-01,Student
e62b1fe0be4f7d228d7892e8e31e14835abb7d37675c675d3a7966a1f47a7f48,a3be1c29f3cc89108d2f1b9eff1a4d6032ebfad6cb07e311df3a26716b5a0832,studenti.polito.it,-52.0,44.0,56157254.0,447375638,AP-AULA2-04,Student
d97c9ee55ed3e5729c52dbf6cf50d71cc78f2c4b8c393bffb3b820095c1fea50,64a928037d459d9cb2788f60680b8448b9d626c2548fa8c554c428b3ed39abd1,studenti.polito.it,-47.0,46.0,83796853.0,2217619,AP-SALASTUDIO4-02,Student
76c27d180b944219fc0ec4b8903a3a61cdae446ca55fe38ff353930d8725a99b,24e3b4d94b0bd5a0ca2d3d6fac90cdda09e7864cc7d22dd7221e4f8d1d033152,polito.it,-59.0,32.0,315192718.0,25057502,AP-DISMIC29,Staff
554d3aa33889bd86945b0ee7cc9cbd2b0e49734718b68de9206766f0be5d7389,abd32e5ac4db342da2114a7654a3afe957fb48ff9f2c82e25bbad393d90eed04,polito.it,-52.0,40.0,1341109172.0,166112065,AP-DISMIC29,Staff
df8ec1ee9800bdb5586678d817c1b43ea3bd0574f9bf2a8bab0f22e096660ebd,1a55a5bd6d8b40597086ba55263c83a3f92a28ecf3868dba26b809dc6b733e23,polito.it,-52.0,40.0,450077820.0,73877524,AP-DISMIC25,Staff
c0993235fe05be5d183bac96a899702c431b5c0238a0e53ddedf8004708e9a18,,,,43.0,57326.0,5766,AP-DICHI-3O-P3-04,Unknown
77e4f4046ea711ff228d957a9997b69996bb8f41e3858ac6421fbba569883757,a40ad38559d5a33a1ea0a49359a03513070260b7f9d20f51b3fa9581f727e126,studenti.polito.it,-53.0,41.0,94839415.0,35221485,AP-AULA7-01,Student
56ddc2797b51ae9f872a1ee3ca6599a6c8735bf16b1dbfbc147bffde7daa1b5a,ade085a5ba4b719f8ce578aa10a193d9113d85570af68ccdcfcf166634ef2ddb,polito.it,-48.0,40.0,148302982.0,15545785,AP-DISMIC29,Staff
cde2ca20e5ea18cf0c2284fb3bc2d0c085a40e9fc1827aae1e9ce7a052a2128e,8a336d87f8583eec8d28c41c3f8d7edd6bbae2f1dd1db6f125400f8b44c1b0e5,polito.it,-62.0,30.0,7042252.0,1004788,AP-DISMIC29,Staff
36f4975ac2d3f2a4ccad352fcd0c8a89ee5bc59fd1bbd61bfa51c7fcb03ed57e,a346d38f45f22db1a6dc5df813b8fc85aefa923be7100089c28da00b4f46be33,studenti.polito.it,-45.0,47.0,40199384.0,7826327,AP-BCI-08,Student
266fa3a46becc19b217de9a7e00ece06126f05bef875eff9f43a57209d4ad2b2,6807dd384d2342bf168aeb9b0e159655e9854e41647626d517536cfaeb033d22,studenti.polito.it,-57.0,39.0,3688187.0,1107861,AP-AULA05-01,Student
