,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
0,2a873e9a7647b8209649099e291b9e44d147e3837ed080d73f5e88743115749b,1e9c17b8f521528007fcb6c13f6a5f57ee526c373e7fdc9f6fea2f926fd89a77,studenti.polito.it,-57.0,38.0,52400.0,10532,AP-AULA8N-01,Student
1,8954ab0ae7ef14bc9cb1796bcae7d6e2fd8d8a3cddc92774dafdf15460285e58,f9b15dd72062d723e216826fead95b4116d4b73c25699bbb8ae6a806c98cb061,kth.se,-59.0,32.0,254624914.0,9508914,AP-AULA25-TM-01,External
2,5934a947a51f75e25412c997908bf3a03edb4fd1444e88a5f3ae686c7186197e,7354c51ee25c2de88656606b309ed3c506826d70b6dbad8dcf1c0adc4fba8f6b,studenti.polito.it,-52.0,36.0,4237080629.0,97652842,AP-LING-AULA206,Student
3,343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-47.0,41.0,1434369.0,32362700,AP-AULAR1-04,Student
4,765cfb0ac315108dd66cc162bf03e172525d4da7e9fc2cff1d4cbb63cf808b73,2af05a6ac84e9dcc7ec1ba6be23ea10a6d29b2728d1a0afb33c3b066abf95b9d,polito.it,-54.0,35.0,5630090.0,6870827,AP-CIT-DAUIN2-02,Staff
5,c4281b9002056543d1b2eed081d1fcff91606e69fb3f36006ba75ecbb696d1be,5ff11f76f4403362b01865cc08b1273a3a394d4acaf24d2978f1d67047377f4f,rug.nl,-74.0,20.0,233861195.0,25906084,AP-SALAMICHELIS,External
6,b1b312ed5351a6b448477492b8af3b923970df2a241897adf23f563702a7190f,bc63baca86eab73b34927e3ad13bf767b98a60225c6bebd12a32bc5bf4e3070c,POLITO.IT,-72.0,22.0,58064677.0,6185393,AP-CORTILE-03,External
7,75b6b8eaea670b52c9484f6a3a83677fd7d98d117e20eafa31941789ad49194e,1be888fbfe78194e0f2c1f1b539ee7536151d1b0649845274c898fc01e5cafc6,studenti.polito.it,-65.0,31.0,116178236.0,13227949,AP-CIT-EXCELID,Student
8,0345ca52a359ab944b21d490cdbbed31fbb8d4e7272afb2d6f638496cc481587,de2ffb14c77c0148ee714a9788f958198225bd491f5e6425c5a9b6a27e1d6ff3,studenti.polito.it,-60.0,36.0,20132.0,286146,AP-AULA08-04,Student
9,298712d6e493797c9b5352d3a56df567571df478cf29ce9ea425162ce05e75f7,b56c4557643edf48779210116f303b7485baf557d5fe399b29780aafa0295880,polito.it,-67.0,19.0,332947909.0,44954302,AP-COV-C3A-XP03-02,Staff
10,5fed161e40f9aeaaf3eadacf35cd6264e4da311c0abe12e3e4784bd2f57f9283,63ee5e2a523d43dcf4478f5ac4a34b716aaf5c7fe9fdb979fa9ad5361e43dab5,polito.it,-61.0,35.0,53787084.0,3760283,AP-DISTR02,Staff
11,49317e2f6eb70fd42c18a116732697b878e8f5c46725f819391d91865e5d512b,147643dc63e78b53557ca6845be70dd78533d1cab5c35b27fcbb685a8f0476da,studenti.polito.it,-50.0,44.0,85220190.0,15204937,AP-BCI-TZ-03,Student
12,82a33f59d67e0d02e144a3d8e6bcd68f1817623865f5063c56327d86f4573925,80d6e3846e01233d8cab1df5db2151d02a42eb3a9b803390d685659df02dc531,studenti.polito.it,-49.0,46.0,668253395.0,15312439,AP-AULA08-03,Student
13,a55516b716575664cb98939fda7a8840bf9073244c3f8f42ae63c2a5321ef882,a84d69d4dfe2dead7ea62d2df430c96ee52ea5f782d857dfffb0e127a403f6e3,studenti.polito.it,-58.0,35.0,257548995.0,43722344,AP-COV-C3B-XP03-15,Student
