,MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
7855,034b3c63b274f256b49395370e1887fe4c3a1edb35486bb84841dc190bf9b018,e1ee03fbc9faef32c429f6f0b4cdd8f0624b7aadb7ba6d0ce1348acfc862f08e,studenti.polito.it,-54.0,38.0,474699074.0,26487059,AP-LING-AULA306-1,Student
7856,b915fcdb333954417df93bcc809713e56e23c8c1b288393c4b13130904570304,8bad0848c65fdd3d7e091df3a35b9dc16f1c12073207748a38f4ef83357325d7,studenti.polito.it,-53.0,37.0,172059657.0,109744688,AP-AULA3I-03,Student
7857,b42b2bb4b9032be8f25a6f18fee17de3b30e1141c56eaa7fbdbf1e96d626c4a5,7421e9dfcedaa68af09139236fcff34f98c2b47cea3b71372331a95f3634f84c,studenti.polito.it,-46.0,50.0,69162028.0,7793424,AP-AULA6-03,Student
7858,9d80eda275b0297fb4fb286b9665653825619bc54bee609be3feca265954cdca,73fd6ef0add6ae496cff0c53f4ef3178995d66c4bc98f17cfdb7d5a391ab2081,studenti.polito.it,-58.0,33.0,159117037.0,41727094,AP-VALE-BCA-04,Student
7859,d1478fc87aac6d0ea5963c1b2cd885496b0b8dfad117ddfb26f6b4198524eee6,2d5b1bcde7b00aebd056dd2f7a5688a83810c7a897bda297afceb458c73c9aef,studenti.polito.it,-59.0,37.0,36493675.0,10336525,AP-BCI-ST-10,Student
7860,2e073cf1c1e03e82bfaccc102efd2b611a29b3a145f6282d4f6a8d8bd0551ed1,1344eae12a86b85c982b39ab562bb02caf6fe2de6e3e19563dfcc6f4555b195f,polito.it,-59.0,32.0,572000910.0,102140412,AP-DIASP04,Staff
7861,3eefa6ebf9f0844a3c0900a15758e65f995b5cd1c3a1f4f1d54342f2b888cfa8,084cfa1fd4e0e2e34e973f1211bd2f4f0f3049d10b224d598c29551016e3be63,studenti.polito.it,-52.0,36.0,548693331.0,12218016,AP-AULAR1-01,Student
7862,a41e7e0825e29c6695dfc7a308641f18584345ad5a468606155f48cd350a2baf,,,,40.0,239406.0,28562,AP-ENERGY-EC1A-01,Unknown
7863,b0d9fa6f72d87dc03883638575adae0d9f8caca4663f64087498bda808a24813,b9bfd5e778dcdb73f5c542ef8d5b19531b1d5498d273bb7e00a52a4683cd3145,studenti.polito.it,-56.0,38.0,267463023.0,17914705,AP-LISIN01,Student
7864,ea25365b8bc6f6cf1fa07a59396fac87027ef23d0f885dd8c3b14e4f56d4522c,247130eb190dcf2d06f4996f40f3d879da871cf2c399d307b405fc378ff850f3,studenti.polito.it,-50.0,44.0,351863299.0,29981139,AP-SETTE-SALASTUDIOE,Student
