MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
964ef959f32018f61b56ad3914c5c7c3abd2cb0f485b30b9d13f3415f9cca224,f6104dba99e67b4a2bff350d92f737e1ce918a5d6d5efb2fe417da66f718890c,studenti.polito.it,-48.0,47.0,7166861.0,6874045,AP-AULA08-03,Student
965324ca97a542f4de9d100f6e1c532264478201e7771161de0f36179c51e165,51a34695fd3b8a82435aa25ad75cb02ce773ac2147c60834609686560b353a4c,studenti.polito.it,-71.0,16.0,8852.0,5905,AP-AULAR2B-04,Student
a3eddcc8b9b4fe8af7f1be51bb32fc3498ece85bd56ce1a4a4f5cd7638150184,766479284267e315b770dc7dc5e610325a977111ad2c74c4ba22b2559d8eff37,studenti.polito.it,-55.0,38.0,692266163.0,8188188,AP-CIT-DET2-02,Student
c7aa3c1d1ab6b05fbff82aed9a708d309db162919c01841ce3d11b5d0d8a403f,e2efea830857ea70a62fc25e1c9860534373bb538e88e0d85e7613b6197d9469,studenti.polito.it,-52.0,42.0,131055519.0,3314004,AP-AULA11I-02,Student
b386ca7ee6669c0795bf86d22a2eeae9c9bbd399b13024685714ee1a19abc315,fe82a9729aa256c7ec7da62ee61ad0002917c8386bfa66341cd282ad12db8907,eduroamesa.int,-59.0,35.0,12372420.0,1009874,AP-ENERGY-EC1A-02,External
28ff86477e20bf0e17c5ff7c79924f6f61431d1e46908897c0cf302c7e9e703c,9b5762b2f4c4c323399ed203aa87e6104fe07c08452e62a5373992a2e197a391,studenti.polito.it,-63.0,30.0,4441030.0,1773801,AP-DIMAT05,Student
c2a6c9adef6c75dbc1f3f59fbb1d6a90db7cd65a5cc75ade4368b6be1aa87254,b8fe56bc7dee81e8f6cea8e97fb8035b3bfedca35105b89d77f6e1fbae41222b,studenti.polito.it,-49.0,44.0,26085849.0,2167723,AP-AULA7-01,Student
2232a561d4f093a44335f3ddde37707a49f917334e33bcb0eb2b8e6c61412e25,1a6dba028996f41145a12ed2084aa1d9b030737b54c23ead23538efbac26c2eb,studenti.polito.it,-61.0,29.0,5737967.0,768496,AP-AULA9T-02,Student
a4364fea25d39bf37c71a2c83152858e4f9119b9174e188b021a4ded96ad6741,8de7be0bc4db009b95589f87ac7adf0a7d812c2d7b932c7f9c65db3c3d51bab9,polito.it,-63.0,33.0,665791109.0,36206828,AP-VALE-LOGI-1,Staff
6c8bffeac7639c82cc6c8ffd47eb261abb8df14cf6baed0864ab87860656d54f,da26705473c7512722cfcd2d6fae418c03b025fc55e0728f81cf6e3dcebfb246,polito.it,-52.0,42.0,1572120.0,352492,AP-DIMEC18,Staff
a259d5f45b61351138b23172f25b2c54ef374b3a2fd76fbf9adb0223c580686f,32d8866992b6a3d52c59f093e52ed75dfd8156564ddc8a987ff4d15229dd3b46,studenti.polito.it,-50.0,42.0,44210664.0,4019938,AP-LADISPE-01,Student
4b2ac856101ba5ea132706e924994b07d7a9b5b3f2cc13b552766a3ac2708c58,ab34495e4d3a445739a2b8930f70d07fed5cec38d01eed91053f505d2271afb6,studenti.polito.it,-56.0,39.0,7534371.0,2386250,AP-AULA-DENINA,Student
6a23de80dd9dda23fb5c89d8d62967290cd2bb779d4a2fc4c76e269de6029901,62188f6902edd9321b5f49b965248dae32d54d803ab40c53fa4966a298d775df,studenti.polito.it,-47.0,41.0,5895519.0,447827,AP-COV-C3A-XP03-01,Student
c7c530559d0b0cc95a071e7d35814b2ddc981c43c53324c4993c138a1057bc4b,1ba7a6ec03e1dd8a30fa1918649d7470781ff538963ec564f3efcfaafaac07e5,studenti.polito.it,-66.0,26.0,54665621.0,6329094,AP-VALE-AULA9V-01,Student
27e4e1c0ef054a61e1be1c6e6b82ee27a7448a5599c5b08249bd1c53d42ccf9b,1d41b9c0ae991ce171be2bc8932d8f415a2f704ac7ba47d3007cef7c6e287882,studenti.polito.it,-47.0,48.0,8150019.0,1907979,AP-AULA2M-03,Student
b52add10b01fb9d88e5aea268f3b298f33f027b8a9b5323a585f4bbf69a1c073,7657d57cf0c9f89e5b4aaa60d2183155eac75a207b9f8450e5cf3919ef311f83,studenti.polito.it,-73.0,22.0,185590180.0,4581347,AP-VALE-AULA4V,Student
308e6713845aa8de153085dd72df9d4d170f0ffb7efb448a55071951f6c75030,9a62d1d3c46121bcf767eee1315c12e9e9528440ca6e93791a5cabd3ccfb362a,studenti.polito.it,-71.0,19.0,3193311.0,1929420,AP-SPECIAL-NEEDS-01,Student
d1296a7bc2905fb7df3d8676494764bb2a27acb4693c5f48dcce45f0f7015d82,155805c7ba6065c90abf8c4bd81b033017305b69b2860645a1dfeb0d8bd74ef3,studenti.polito.it,-52.0,44.0,4485843.0,1443214,AP-AULA08-04,Student
