MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
fd982b08e8c2e2b2c4eb0ea85d9609fd9d3f140c5405756f45cf86d670c00dbe,9fab419e6cfccd55d05b7a34be9f749ce9fa7fc81544a89e098da0a4b7043853,polito.it,-57.0,37.0,17875466.0,1297850,AP-CIT-DAUIN3-07,Staff
94579e1d9706a9975ad8810ac90c82171f01c590026ad6084bb8edb473e0f847,bb348f31e4f20d049546c7069f550cb109198c43cb8bfe4689975816e59b43c1,studenti.polito.it,-54.0,36.0,1340429.0,4517005,AP-AULA11T-01,Student
e7d3871a2773fc466b6dab8991796de55e33dead164b608420e5334410cd31e0,4c9d5957986ab44a98d1ab22409a507faa5742d3c93384f33c44bcf2b97ff463,studenti.polito.it,-64.0,31.0,1921210.0,3130059,AP-AULAR4B-01,Student
785dbc6155736d4f2bb4c345fa57c09aaf2531150f9c468f0a7dc52b20f0fd6b,247a2badcf75c978b6dc86d3e63ec8ba12f963605e2b0d2bdc99682dc9b4a25d,polito.it,-60.0,37.0,840327.0,354960,AP-DIFIS04,Staff
343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-56.0,39.0,16906170.0,892787360,AP-CIT-EXCELID,Student
8c9f4e0bcfb26c16c27a84e38d6880ce71962fbda4cd3b0cb3cda2cea425d5af,,,,21.0,7578991.0,773906,AP-DIATI0-01,Unknown
3b964d760a0ce0788a7e5f79d1b39a0c101f3c76d92d6e8aadfcb9a125c1c674,d6cacef244a0719cd193c16c42f32f3e0020cb4114765ee387a7a57948460e6e,studenti.polito.it,-64.0,30.0,139761727.0,20998749,AP-LAIB5D-02,Student
db56660392e24089162da64b6fd220274a6ca83900b25f1c04e1ebd9b4975a10,410662103bca98e28a3ad3611ae201f5844a47b2acc82fc21d426385ee639cb8,studenti.polito.it,-51.0,32.0,586421857.0,15412176,AP-AULASTUDIOR1-01,Student
afa83f8b9227617bd9fb6802d6802dfe432d623a92e7e6646f9e9aba2a094031,5816ee40619d968f37d6c758acbe6b18ffeb6edf39be9beaec64f49339b21d48,studenti.polito.it,-59.0,30.0,347450.0,93392,AP-FISLAB3,Student
847681ed10aff80ea2101a541ea2f6cb2d9171f7c1e1e9ab5082679d699eabad,cd2286d9f1179dbf05b15600b0d1fdfda6b4cf4c021f7a30f0d79afd425c4531,polito.it,-59.0,36.0,156574257.0,59916893,AP-DENER02,Staff
b6404d5a542214d60d8518347d9367e23c5cdc2b8677723421bd0815779f8f31,3b8bc81310e33a06027957f8ff9832030667469bdd59abbe418bf1a33010a113,polito.it,-57.0,36.0,314470665.0,99098493,AP-AULA12I-01,Staff
589dc706552e3982f8a2e938642bc4d3608ab730ded7a730965d0ebb151630d7,3b708c41aa1e027f855a11bdd8023061691aeb2869acde5e84b3675bd0546dca,studenti.polito.it,-71.0,15.0,98361716.0,22021750,AP-VALE-MOLLINO-02,Student
9819180e2488c1503d4f4fd8da129c3bf066b7cd7b8dd9f8bdfe0d443652f142,bd9ebf937152811fcf0f4bf4e9c57daa5a7fe33b5b74b55f34252ac069cbbbed,studenti.polito.it,-55.0,39.0,229218379.0,5618298,AP-AULA2-03,Student
b27e1902404d05888a31f5df9c41fe6249437f9971b1505c2ca414f52c04e116,,,,30.0,37624.0,4201,AP-DITAG12,Unknown
