MAC_masked,user_masked,domain,rssi,snr,byte_rx,byte_tx,name_ap,class
fd982b08e8c2e2b2c4eb0ea85d9609fd9d3f140c5405756f45cf86d670c00dbe,9fab419e6cfccd55d05b7a34be9f749ce9fa7fc81544a89e098da0a4b7043853,polito.it,-57.0,35.0,16280905.0,569792,AP-CIT-DAUIN3-07,Staff
50f40ca4f46442058da8017f94966255106a6c5c893003a15d9d5951c249d319,,,,36.0,0.0,0,AP-AULA5B-02,Unknown
94579e1d9706a9975ad8810ac90c82171f01c590026ad6084bb8edb473e0f847,bb348f31e4f20d049546c7069f550cb109198c43cb8bfe4689975816e59b43c1,studenti.polito.it,-58.0,33.0,877066.0,4285811,AP-AULA11T-01,Student
e7d3871a2773fc466b6dab8991796de55e33dead164b608420e5334410cd31e0,4c9d5957986ab44a98d1ab22409a507faa5742d3c93384f33c44bcf2b97ff463,studenti.polito.it,-56.0,36.0,1621824.0,3016311,AP-AULAR4B-01,Student
47e75923f82c39fc70d2143e8a80d2602c68f3b8e4b8fe231b2e0b4cf963cf23,,,,,0.0,0,AP-BCI-06,Unknown
343a5ca04e9271f080cc87144259661c1f71c023ab7ea4e96f050cc54e068231,57e29850cc3bf9a328a9af4aaf2a944f4ae17ef6ac6b2f012d2871ce03cfd732,studenti.polito.it,-56.0,39.0,16005175.0,879899958,AP-CIT-EXCELID,Student
8c9f4e0bcfb26c16c27a84e38d6880ce71962fbda4cd3b0cb3cda2cea425d5af,,,,30.0,7202853.0,728318,AP-DIATI0-01,Unknown
3b964d760a0ce0788a7e5f79d1b39a0c101f3c76d92d6e8aadfcb9a125c1c674,d6cacef244a0719cd193c16c42f32f3e0020cb4114765ee387a7a57948460e6e,studenti.polito.it,-54.0,40.0,111639788.0,18776320,AP-LAIB5D-01,Student
75b6b8eaea670b52c9484f6a3a83677fd7d98d117e20eafa31941789ad49194e,1be888fbfe78194e0f2c1f1b539ee7536151d1b0649845274c898fc01e5cafc6,studenti.polito.it,-45.0,18.0,326973603.0,11358714,AP-CIT-EXCELID,Student
db56660392e24089162da64b6fd220274a6ca83900b25f1c04e1ebd9b4975a10,410662103bca98e28a3ad3611ae201f5844a47b2acc82fc21d426385ee639cb8,studenti.polito.it,-56.0,37.0,445046004.0,11987589,AP-AULASTUDIOR1-01,Student
069f3aa6a2b45b0426b9a987492f521a48be10b43af447a9cc7793d7e238264b,,,,36.0,0.0,0,AP-AULA3D-01,Unknown
afa83f8b9227617bd9fb6802d6802dfe432d623a92e7e6646f9e9aba2a094031,5816ee40619d968f37d6c758acbe6b18ffeb6edf39be9beaec64f49339b21d48,studenti.polito.it,-60.0,33.0,309290.0,71857,AP-FISLAB3,Student
